SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
17.4453125;0;111;0
107.4375;54.33488203;315;8.879275544
224.25;117.2699677;481;16.73735675
307.625;150.2218548;598;22.95781878
334.5;181.8694085;657;26.97504585
367.625;201.4286104;655;28.31387017
339.125;193.3378681;591;26.79114496
211.75;120.1380231;470;22.61411986
99.03125;68.3365864;301;16.2699703
24.84375;23.88882994;94;8.324185209
0.457763672;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
12.86328125;0.583200857;117;0.160316957
80.1875;42.90464873;322;9.155075469
168.6875;90.73554616;488;17.03328961
242.875;121.8583791;605;23.27463379
375.5;202.2948172;664;27.30817178
438;236.6398254;662;28.6529356
355.125;201.3327742;598;27.12324104
214.25;120.847746;477;22.92922774
81.53125;56.60161373;307;16.56395481
19.6484375;18.96290653;101;8.59811818
0.198364258;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
20.6796875;2.213670831;124;0.425125624
111.25;56.56600979;329;9.435816
210.875;110.7272057;495;17.33407754
295.75;161.4153724;612;23.5961841
363.125;195.6916292;671;27.6457781
309.25;170.322507;669;28.99598779
234.75;135.6345875;605;27.45860117
171.6875;98.50282149;484;23.24680791
97.5;66.63915139;314;16.85973307
33.921875;31.08294904;107;8.873373238
0.774902344;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
13.515625;2.302155588;131;0.694879819
72.15625;39.50840574;335;9.721393351
153.25;82.78367755;502;17.63961317
183.375;101.9860712;619;23.92235992
